Id_orden,Id_cliente,Id_empleado,Fecha_orden,Id_metodo,Total
169,259,3,25/3/2025,4,662598
170,768,18,28/1/2025,1,3435680
171,230,3,26/2/2025,1,760298
172,973,8,26/2/2025,2,670959
173,637,5,11/3/2025,2,1558818
174,485,4,4/3/2025,5,2328419
175,477,9,4/5/2025,3,1907517
176,621,20,28/6/2025,1,1873767
177,988,10,26/4/2025,1,715406
178,952,10,13/3/2025,5,3648302
179,407,7,17/4/2025,1,2537168
180,105,10,28/1/2025,5,1515483
181,816,19,26/2/2025,1,3412556
182,546,14,22/4/2025,3,1078451
183,519,11,23/1/2025,1,4023708
184,843,16,25/1/2025,1,4136657
185,984,12,26/2/2025,4,1783382
186,446,6,13/6/2025,5,2765615
187,631,18,6/3/2025,4,4399643
188,447,19,31/3/2025,3,3203686
189,873,8,6/7/2025,1,2839819
190,903,15,18/5/2025,2,4398257
191,584,20,10/6/2025,4,3321899
192,30,16,22/2/2025,3,2025383
193,500,7,11/7/2025,3,2667217
194,349,9,17/2/2025,5,2817508
195,570,1,28/1/2025,5,2102697
196,88,8,12/6/2025,4,4598488
197,569,8,24/6/2025,4,4617307
198,459,1,31/5/2025,1,2968226
199,227,13,22/6/2025,2,3068642
200,680,19,8/6/2025,3,4469996
201,567,17,20/5/2025,3,4069384
202,764,18,21/5/2025,3,3451200
203,720,15,27/6/2025,3,3072140
204,258,8,24/2/2025,1,2115514
205,324,4,12/3/2025,5,2053149
206,197,7,19/3/2025,4,2819446
207,742,19,13/1/2025,5,2873965
208,103,7,24/4/2025,3,2408267
209,370,6,6/2/2025,3,618685
210,726,18,7/6/2025,2,2801090
211,47,2,3/7/2025,5,2950619
212,715,5,18/6/2025,4,1360567
213,894,1,26/6/2025,5,2885211
214,481,16,15/1/2025,4,3358048
215,189,2,14/2/2025,3,4507482
216,117,3,1/7/2025,4,4625069
217,76,19,18/2/2025,1,1772778
218,153,19,24/5/2025,3,1214549
219,255,4,29/5/2025,5,3991120
220,621,20,2/6/2025,5,2393200
221,795,17,20/3/2025,4,4279189
222,931,15,23/5/2025,3,4097285
223,313,19,9/6/2025,5,1005248
224,625,4,19/2/2025,2,2270207
225,271,3,8/2/2025,2,2512134
226,178,18,19/3/2025,1,1813090
227,3,14,23/2/2025,4,4441911
228,299,2,21/5/2025,2,2916798
229,724,10,6/7/2025,4,1097099
230,704,8,13/7/2025,3,2159427
231,436,4,29/4/2025,5,2385838
232,664,5,20/2/2025,3,1693164
233,74,2,25/5/2025,2,3080434
234,610,19,4/3/2025,3,4183886
235,128,15,10/7/2025,3,3876486
236,966,9,29/5/2025,5,4642254
237,449,3,11/3/2025,5,834376
238,911,14,26/2/2025,3,2600238
239,27,3,31/3/2025,2,674025
240,784,9,1/2/2025,5,837487
241,782,6,9/5/2025,4,4853384
242,668,15,8/5/2025,3,2022441
243,600,14,28/3/2025,4,1265396
244,482,12,4/2/2025,4,3295993
245,329,4,2/7/2025,2,3266593
246,422,16,16/2/2025,3,3859236
247,834,18,12/3/2025,1,4315356
248,91,11,18/5/2025,3,3211817
249,119,13,20/2/2025,5,509655
250,674,18,28/6/2025,4,3966571
251,56,7,4/4/2025,5,3534825
252,638,16,26/5/2025,4,932950
253,209,9,10/7/2025,5,1599018
254,950,10,25/6/2025,4,4566057
255,125,1,30/4/2025,5,2507372
256,727,6,11/3/2025,3,614709
257,566,14,29/1/2025,1,2384925
258,862,4,31/5/2025,4,1485377
259,664,5,29/5/2025,4,2948312
260,522,9,26/4/2025,4,4547499
261,484,8,21/6/2025,4,1713344
262,393,7,8/6/2025,5,4763433
263,765,5,20/4/2025,1,2817331
264,792,14,13/2/2025,3,4759212
265,274,1,16/3/2025,3,3004467
266,858,19,16/4/2025,5,4607400
267,887,5,13/6/2025,4,4562950
268,354,11,4/2/2025,5,3664267
269,467,11,20/3/2025,2,2503246
270,586,13,18/6/2025,2,3945831
271,45,11,14/6/2025,4,3697998
272,396,5,23/5/2025,4,810543
273,130,17,28/3/2025,5,3284973
274,891,4,2/2/2025,4,1336442
275,539,15,22/3/2025,1,1709263
276,420,5,18/2/2025,1,4438372
277,801,9,25/6/2025,3,3834331
278,666,3,15/4/2025,3,4976348
279,390,11,6/5/2025,4,801143
280,633,3,24/3/2025,2,2910709
281,233,3,16/5/2025,4,1325800
282,779,4,10/7/2025,4,1895568
283,711,10,12/7/2025,1,885800
284,333,2,14/2/2025,3,3507008
285,384,14,22/6/2025,2,2548476
286,544,14,5/3/2025,5,2010426
287,175,6,8/6/2025,1,3709014
288,635,8,27/6/2025,4,1700558
289,238,15,15/3/2025,3,4355156
290,262,1,10/5/2025,4,2912829
291,694,18,12/2/2025,2,1119598
292,453,12,4/2/2025,5,3009487
293,655,14,18/3/2025,3,4332216
294,866,10,9/6/2025,2,3727040
295,874,16,15/4/2025,1,2489825
296,391,19,14/3/2025,3,2981957
297,717,10,27/5/2025,1,3820259
298,282,1,14/5/2025,5,911412
299,933,20,10/3/2025,4,2900770
300,795,8,15/1/2025,5,3455482
301,225,7,14/1/2025,5,2602409
302,695,5,16/6/2025,1,830700
303,317,15,16/2/2025,1,3560677
304,750,5,12/3/2025,1,2975565
305,335,14,3/6/2025,2,2184388
306,136,18,22/6/2025,3,4953112
307,514,9,30/5/2025,2,2655621
308,936,16,29/6/2025,3,3341349
309,824,4,28/5/2025,4,1131656
310,145,8,1/7/2025,4,3568343
311,93,13,16/4/2025,1,2718439
312,550,4,10/6/2025,4,3591920
313,689,9,13/4/2025,5,3696273
314,843,12,13/6/2025,1,2461440
315,483,1,29/3/2025,5,3251516
316,938,20,17/1/2025,2,1030302
317,651,15,17/1/2025,3,3925033
318,120,5,20/1/2025,1,812157
319,312,16,4/3/2025,1,1315305
320,241,18,22/4/2025,2,3760197
321,465,12,21/2/2025,5,4015890
322,602,5,14/1/2025,4,1330653
323,854,16,4/6/2025,5,3923524
324,962,9,24/3/2025,1,3608230
325,223,15,21/2/2025,4,2480656
326,876,12,4/7/2025,1,3581428
327,558,12,7/5/2025,1,3839837
328,283,7,26/6/2025,1,4314445
329,94,7,27/2/2025,5,679159
330,52,11,24/1/2025,2,1556326
331,806,19,15/2/2025,2,1075543
332,850,18,19/4/2025,2,2311531
333,833,8,20/6/2025,3,1737774
334,808,20,8/2/2025,1,2825949
335,880,5,14/3/2025,2,2602639
336,818,6,6/7/2025,1,716259
337,135,1,24/2/2025,3,2495914
338,603,11,19/4/2025,1,1961683
339,272,2,16/6/2025,2,4031273
340,539,4,4/5/2025,1,4495040
341,460,12,10/5/2025,5,1414811
342,463,17,12/3/2025,2,863772
343,745,17,4/6/2025,3,4342339
344,659,1,28/4/2025,1,4517991
345,868,13,24/2/2025,4,1405649
346,503,15,26/3/2025,1,1177719
347,330,20,14/2/2025,2,1050982
348,130,9,13/1/2025,5,3227853
349,391,20,18/2/2025,5,2973781
350,465,17,10/5/2025,5,4108773
351,102,4,17/5/2025,5,2303744
352,441,15,5/6/2025,2,3971319
353,348,15,7/2/2025,4,3989574
354,748,4,2/4/2025,3,4079955
355,321,9,14/6/2025,3,1780428
356,704,16,4/5/2025,1,1265248
357,852,3,10/6/2025,1,4122842
358,99,12,4/4/2025,2,1003156
359,601,18,5/3/2025,5,3265270
360,687,4,24/2/2025,4,3466195
361,895,14,12/5/2025,1,2912810
362,615,10,17/5/2025,3,1369064
363,592,17,9/6/2025,2,1797970
364,673,16,4/3/2025,2,1407801
365,359,18,6/3/2025,3,1463727
366,781,9,11/3/2025,5,2397159
367,827,14,16/1/2025,5,720233
368,624,9,2/7/2025,1,2013439
369,280,10,22/5/2025,3,3444597
370,7,6,9/5/2025,2,3862022
371,72,5,21/5/2025,1,1269719
372,765,17,20/6/2025,2,3655747
373,430,15,6/2/2025,3,1820444
374,379,10,13/3/2025,3,1212671
375,905,2,22/3/2025,2,1820449
376,773,20,5/4/2025,1,1184355
377,279,15,1/2/2025,4,4574025
378,622,15,22/1/2025,4,2791489
379,221,17,4/3/2025,1,3395519
380,441,4,24/3/2025,3,4582171
381,540,10,29/6/2025,1,2349842
382,405,20,7/6/2025,1,564483
383,210,10,7/6/2025,2,1651208
384,783,9,3/7/2025,3,3252489
385,123,1,8/2/2025,4,4112596
386,180,5,11/7/2025,4,4967624
387,721,8,31/1/2025,5,3470969
388,74,13,21/4/2025,1,4159275
389,20,15,27/5/2025,1,3126142
390,590,14,11/2/2025,5,3892545
391,727,14,6/7/2025,3,1466144
392,415,1,12/1/2025,3,1941776
393,821,20,6/6/2025,4,3535440
394,91,14,25/6/2025,1,2541086
395,447,19,17/2/2025,4,4895316
396,81,13,18/2/2025,3,3348043
397,227,11,25/5/2025,2,1140716
398,523,4,5/2/2025,5,4777787
399,199,12,22/4/2025,3,1738912
400,242,4,13/4/2025,2,2647217
401,203,6,15/5/2025,5,1782364
402,779,3,13/4/2025,2,4644954
403,476,19,8/2/2025,5,4265690
404,698,19,5/4/2025,5,3211267
405,885,11,29/6/2025,2,4188997
406,70,16,30/6/2025,4,3040241
407,816,9,11/5/2025,5,971205
408,361,17,17/6/2025,1,3103889
409,473,15,18/1/2025,1,977228
410,378,10,2/5/2025,1,1257461
411,630,20,17/6/2025,5,3725272
412,474,19,22/4/2025,5,844123
413,461,19,8/3/2025,2,3197161
414,620,16,9/2/2025,5,1765514
415,981,2,22/3/2025,4,1368236
416,831,11,4/3/2025,1,4732463
417,662,6,14/5/2025,1,2578224
418,725,15,23/1/2025,4,4896205
419,536,20,17/3/2025,2,3552597
420,382,10,23/2/2025,4,3929006
421,794,11,4/6/2025,5,939273
422,809,11,8/4/2025,1,3265646
423,97,18,22/3/2025,4,2883597
424,259,20,21/6/2025,2,3296443
425,84,19,2/2/2025,2,3434509
426,318,13,10/6/2025,2,1210674
427,318,18,17/3/2025,4,3255461
428,833,5,9/5/2025,5,1283940
429,662,14,24/4/2025,5,3535234
430,19,12,31/3/2025,3,2012154
431,974,7,8/4/2025,3,4579136
432,197,8,15/5/2025,2,1799774
433,80,10,14/6/2025,1,4758809
434,790,18,6/3/2025,5,816648
435,678,11,19/2/2025,5,1599319
436,612,13,28/6/2025,2,1861028
437,186,20,27/6/2025,2,4171470
438,45,14,12/3/2025,3,2492547
439,993,15,29/6/2025,5,2890148
440,771,15,20/1/2025,2,4979610
441,245,10,4/6/2025,4,2127525
442,377,19,1/7/2025,4,4372852
443,788,10,5/5/2025,4,4718687
444,541,14,1/3/2025,2,2175185
445,821,20,4/4/2025,2,2597178
446,54,16,30/5/2025,3,1360585
447,729,17,12/7/2025,1,2891281
448,86,6,9/6/2025,3,4269162
449,928,17,13/4/2025,2,4169785
450,94,8,16/2/2025,4,3432532
451,953,1,4/7/2025,4,946751
452,406,17,13/2/2025,3,2477849
453,396,3,6/5/2025,3,2383567
454,29,11,24/1/2025,1,3312619
455,811,5,7/6/2025,2,821310
456,294,16,16/5/2025,2,4435180
457,460,20,21/6/2025,1,1164593
458,20,9,23/5/2025,2,1754261
459,562,20,27/5/2025,5,4050518
460,114,10,10/3/2025,2,3026239
461,125,2,11/6/2025,2,4021751
462,655,20,31/3/2025,4,1026864
463,114,16,8/3/2025,5,4996745
464,17,17,5/5/2025,5,2529524
465,736,5,3/6/2025,3,4100716
466,2,20,11/4/2025,3,2517999
467,585,14,27/5/2025,2,1218181
468,537,12,15/1/2025,1,4912906
469,558,17,9/2/2025,5,670576
470,400,16,24/2/2025,1,3745395
471,383,9,2/4/2025,1,3495520
472,808,3,14/2/2025,3,2522710
473,751,4,25/2/2025,5,3289368
474,137,2,3/7/2025,3,3339940
475,834,6,13/7/2025,4,4514210
476,647,6,13/1/2025,2,1029325
477,734,15,13/1/2025,1,2961574
478,207,2,23/1/2025,2,851532
479,324,10,9/5/2025,5,3840545
480,835,18,15/6/2025,4,2624949
481,38,7,12/3/2025,3,3494516
482,883,2,27/2/2025,3,2791907
483,128,12,12/1/2025,4,3855625
484,762,15,2/2/2025,4,3344045
485,998,6,17/1/2025,4,4673528
486,377,17,3/6/2025,3,1192995
487,745,14,24/5/2025,1,4112194
488,617,6,23/5/2025,5,2964291
489,329,4,30/3/2025,1,3250791
490,677,10,11/4/2025,3,4240612
491,618,14,15/4/2025,2,4223773
492,360,15,8/6/2025,1,3457481
493,630,14,2/4/2025,3,981154
494,77,13,20/3/2025,3,4804077
495,821,6,27/3/2025,1,1697720
496,870,20,20/4/2025,4,791914
497,130,3,28/6/2025,2,3572985
498,371,13,4/5/2025,5,771667
499,620,5,25/4/2025,4,3611875
500,381,15,31/5/2025,1,1655070
501,543,12,4/3/2025,4,3137256
502,666,9,2/2/2025,2,1451675
503,27,6,18/2/2025,4,4843162
504,397,18,14/5/2025,1,2695941
505,794,9,20/1/2025,4,2299947
506,627,10,20/5/2025,4,2179217
507,126,5,15/2/2025,1,4292008
508,177,15,25/2/2025,1,3180896
509,684,12,22/5/2025,1,2935735
510,913,10,27/2/2025,2,1960381
511,813,12,3/7/2025,5,2381075
512,125,7,7/4/2025,2,2485887
513,810,16,15/3/2025,1,3527419
514,568,19,10/2/2025,3,4420884
515,823,18,26/2/2025,2,1223227
516,68,10,8/7/2025,4,4515333
517,539,14,20/1/2025,4,1118665
518,129,11,16/4/2025,1,4274659
519,478,17,5/4/2025,3,1576548
520,900,18,16/4/2025,5,2026417
521,787,5,7/3/2025,4,4718327
522,933,2,4/6/2025,1,4846155
523,157,10,12/5/2025,2,1858677
524,331,8,30/5/2025,3,4852830
525,917,10,12/2/2025,1,2602229
526,202,18,18/6/2025,3,1550004
527,641,10,12/4/2025,5,4975138
528,96,17,1/3/2025,2,1793475
529,176,20,1/6/2025,5,3332158
530,863,19,28/2/2025,1,738014
531,84,2,15/2/2025,5,2720094
532,667,7,4/2/2025,5,3994583
533,633,1,15/5/2025,4,2929941
534,658,10,19/2/2025,4,2554184
535,825,13,11/7/2025,3,4304603
536,75,2,12/5/2025,2,4187678
537,426,16,14/1/2025,4,2211469
538,349,20,14/3/2025,2,3122132
539,883,11,23/5/2025,3,3844677
540,134,12,10/3/2025,5,1390735
541,327,8,7/7/2025,4,1527788
542,274,15,30/6/2025,2,1681767
543,100,2,20/5/2025,3,3722482
544,885,20,18/6/2025,4,2582642
545,986,6,29/6/2025,3,3123242
546,195,6,19/6/2025,4,4817824
547,479,16,8/4/2025,3,4672244
548,24,3,9/6/2025,4,4739975
549,469,8,25/6/2025,2,3460298
550,50,2,28/3/2025,3,4651473
551,612,16,23/1/2025,3,568597
552,868,4,10/6/2025,4,1623527
553,904,9,23/3/2025,3,3882740
554,375,2,23/2/2025,4,929141
555,584,18,24/2/2025,2,3541069
556,567,10,7/5/2025,1,3740928
557,517,15,26/5/2025,5,2846467
558,846,20,14/6/2025,5,1496659
559,132,4,16/3/2025,4,3630614
560,814,11,4/7/2025,5,3566928
561,774,5,26/3/2025,2,4770829
562,412,17,6/5/2025,1,880032
563,40,5,20/3/2025,3,4474053
564,532,15,8/5/2025,2,4824375
565,144,11,18/5/2025,5,3172023
566,167,13,14/4/2025,5,3010159
567,608,11,22/6/2025,5,4775791
568,546,16,10/3/2025,5,3014825
569,487,1,12/7/2025,3,3278639
570,690,4,29/1/2025,4,3080988
571,816,1,15/5/2025,5,4481151
572,272,19,9/6/2025,5,2408770
573,739,2,16/1/2025,5,4530296
574,175,17,25/4/2025,5,3689267
575,152,8,5/5/2025,1,1421870
576,196,1,21/3/2025,4,3131443
577,429,5,21/2/2025,4,2210367
578,421,17,4/2/2025,5,4456113
579,894,2,8/5/2025,2,4851030
580,213,18,10/6/2025,3,4512866
581,539,13,25/4/2025,3,1952759
582,471,18,14/6/2025,3,3471974
583,693,9,20/5/2025,5,4561597
584,197,8,4/3/2025,3,3003992
585,231,10,10/6/2025,3,2238772
586,707,16,27/3/2025,3,4524882
587,358,18,1/6/2025,3,2914152
588,125,19,15/1/2025,5,3685105
589,918,13,11/5/2025,3,1728730
590,298,2,30/5/2025,3,1162946
591,355,15,7/5/2025,3,4518808
592,220,7,3/4/2025,5,2774426
593,956,18,6/2/2025,3,1651529
594,112,20,28/6/2025,5,2507243
595,249,2,27/3/2025,5,2393070
596,654,8,20/4/2025,1,1340521
597,424,11,8/5/2025,4,1343431
598,698,5,2/5/2025,1,1824905
599,417,16,19/6/2025,4,2173157
600,775,10,19/4/2025,3,2894237
601,662,2,19/4/2025,1,2448004
602,548,2,13/3/2025,2,4005473
603,904,6,11/6/2025,1,3830231
604,807,16,5/3/2025,2,2928224
605,898,2,19/5/2025,1,3003095
606,582,20,21/1/2025,1,3310536
607,292,15,12/5/2025,5,4898302
608,506,5,30/3/2025,5,4426042
609,280,7,27/6/2025,1,3273979
610,167,15,30/5/2025,3,2061951
611,15,11,1/6/2025,3,2120354
612,180,20,16/2/2025,4,4087834
613,528,11,6/6/2025,1,3862432
614,686,4,30/3/2025,2,1679537
615,489,11,19/6/2025,2,557295
616,268,13,1/4/2025,2,4247489
617,772,9,21/4/2025,3,3032905
618,597,19,17/2/2025,1,2694066
619,670,12,13/4/2025,2,1021136
620,684,4,17/3/2025,4,3073678
621,164,13,10/2/2025,5,3108672
622,707,4,7/4/2025,3,3583181
623,630,8,14/2/2025,2,1620456
624,490,5,12/3/2025,4,3634192
625,426,18,8/2/2025,4,2332169
626,781,8,11/6/2025,5,1186777
627,539,15,7/4/2025,5,3534871
628,80,19,3/6/2025,1,1018064
629,849,18,6/6/2025,5,2195813
630,587,18,6/4/2025,2,1880237
631,336,17,2/3/2025,4,1475091
632,697,7,5/6/2025,5,4600586
633,94,17,5/6/2025,4,966706
634,465,5,1/5/2025,5,3984833
635,468,19,28/2/2025,1,4378710
636,689,10,19/1/2025,1,3821458
637,261,1,27/5/2025,2,1112616
638,47,14,5/6/2025,3,1034856
639,555,2,7/4/2025,1,4460020
640,33,10,26/3/2025,4,2009792
641,788,5,25/2/2025,4,3641205
642,913,13,21/6/2025,4,3666668
643,385,3,5/4/2025,5,1615599
644,670,12,22/2/2025,1,1997145
645,551,13,24/5/2025,5,1568264
646,746,8,10/3/2025,1,690717
647,306,15,29/5/2025,5,4057843
648,545,13,16/6/2025,2,2576281
649,472,12,24/3/2025,2,2812317
650,194,4,16/5/2025,1,4016845
651,630,1,3/2/2025,2,2228737
652,69,4,29/6/2025,5,781658
653,458,20,27/5/2025,1,2552978
654,759,2,13/5/2025,4,4182286
655,240,18,19/4/2025,2,973486
656,144,17,31/3/2025,3,2464289
657,836,19,11/7/2025,3,3189933
658,243,10,12/5/2025,2,4872570
659,227,14,2/3/2025,3,2808158
660,63,18,8/2/2025,5,1969123
661,642,14,9/6/2025,5,4657568
662,49,12,29/4/2025,4,4899515
663,327,14,13/2/2025,4,1751728
664,308,13,27/4/2025,2,4472163
665,247,8,14/5/2025,3,1710910
666,826,15,2/6/2025,1,3961789
667,992,14,4/4/2025,5,4945893
668,138,13,24/6/2025,2,2639058
669,209,11,19/1/2025,1,4273085
670,868,12,11/3/2025,1,4993236
671,742,7,14/2/2025,1,2752019
672,387,20,26/2/2025,5,831748
673,895,3,6/5/2025,2,2320466
674,491,7,2/7/2025,3,3043325
675,980,1,11/5/2025,2,2094034
676,986,4,14/4/2025,4,2535019
677,713,20,28/2/2025,2,3827190
678,938,8,4/7/2025,5,3197902
679,795,10,8/3/2025,4,4411192
680,547,12,17/6/2025,3,2694137
681,369,17,27/2/2025,4,4409125
682,101,16,20/1/2025,3,2203956
683,380,11,9/3/2025,4,883488
684,577,8,4/3/2025,2,636062
685,268,18,15/4/2025,5,4002898
686,303,5,12/7/2025,2,3267110
687,236,13,21/4/2025,5,2561332
688,512,18,10/2/2025,3,2658613
689,782,16,13/4/2025,4,4365713
690,173,12,22/5/2025,2,1674057
691,738,18,27/1/2025,4,2043904
692,939,18,5/6/2025,1,4895164
693,35,3,28/5/2025,1,553551
694,423,5,13/6/2025,2,1070156
695,725,5,25/2/2025,1,2334753
696,518,15,9/4/2025,3,1007092
697,633,20,17/1/2025,4,4592419
698,17,1,27/4/2025,5,3950557
699,13,1,18/3/2025,5,2804692
700,549,10,15/4/2025,1,4712893
701,833,14,6/3/2025,2,1397718
702,941,4,18/3/2025,5,1749042
703,247,7,2/6/2025,5,4916232
704,259,12,7/6/2025,3,3829408
705,81,12,12/7/2025,4,4350352
706,579,8,19/4/2025,2,3016369
707,701,3,1/3/2025,1,1284339
708,416,13,13/6/2025,4,4493020
709,58,1,12/6/2025,2,1193621
710,512,14,20/1/2025,3,1299953
711,917,17,26/1/2025,1,2427421
712,217,19,16/4/2025,4,2774110
713,48,3,17/2/2025,3,776000
714,184,11,2/2/2025,1,2237768
715,602,5,26/1/2025,4,1145398
716,307,6,15/2/2025,5,2517226
717,581,13,11/3/2025,5,3282751
718,394,5,19/6/2025,1,4700954
719,764,12,18/5/2025,1,1319447
720,448,8,18/1/2025,1,3357099
721,620,20,9/2/2025,5,3827786
722,993,11,26/1/2025,1,2792833
723,803,15,23/5/2025,4,2413763
724,365,18,14/3/2025,4,4122603
725,191,19,14/6/2025,4,1218854
726,791,20,26/3/2025,3,2567370
727,731,3,11/4/2025,1,2747912
728,158,13,15/2/2025,2,3768386
729,325,12,18/4/2025,1,1267729
730,6,10,20/1/2025,4,3519206
731,780,9,8/3/2025,1,1611549
732,90,6,18/1/2025,4,4265173
733,571,18,23/2/2025,5,3922922
734,106,1,4/6/2025,1,3468848
735,568,3,17/5/2025,5,3221518
736,885,13,15/1/2025,1,2948193
